"GROUP","TIME","HORIZONTAL","VERTICAL","CIRCLE","LEGATO","NOTE","SLUR UP","SLUR DOWN","BASS KEY","TREBLE KEY","SHARP","FLAT","MARCATO","NATURAL","DIMINUENDO","NUMBER ONE","NUMBER TWO","STACCATO","SULLARCO","UPPERMORDENT"
8,21,1.2,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,22,1.2,0,0,0,-1.1,-2.1,0,0,0,0,0,0,0,0,0,0,0,-3.1,0
8,23,2.1,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,24,2.1,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25,0,0,0,0,0,3.1,0,0,0,0,0,-1.1,0,0,0,0,0,0,0
8,26,0,0,0,0,0,0,0,0,0,0,0,-1.1,0,0,0,0,0,0,0
9,1,0,0,0,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,0,0,-6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0,0,0,-7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,0,0,0,-8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,0,0,0,-9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,0,0,0,-9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,0,0,0,-10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,0,0,0,-10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,0,-3.1,-10.1,-4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,3.1,0,-3.1,-11.1,-3.1,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0
9,11,3.1,0,-3.2,-11.1,1.2,0,0,0,0,0,-2.1,5.1,0,0,0,0,0,0,0
9,12,3.1,0,-3.2,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13,4.1,0,-3.3,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,-2.3,0,3.1
9,14,4.1,0,-3.3,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,-2.3,0,3.1
9,15,2.1,0,-3.2,-11.1,-3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,16,2.1,0,-3.2,-11.1,-2.2,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0
9,17,2.1,0,-3.1,-11.1,-3.2,0,0,0,0,-5.1,0,5.1,0,0,0,0,0,0,0
9,18,2.1,0,-3.1,-11.1,0,0,0,0,0,0,0,-5.1,0,0,0,0,0,0,0
9,19,2.1,0,-4.1,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20,2.1,-5.2,-4.1,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,21,2.1,0,-5.1,-10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,22,2.1,0,-5.1,-10.1,0,0,0,0,0,0,0,-4.1,0,0,0,0,0,0,0
9,23,2.1,0,0,-10.1,0,0,0,0,0,0,0,-4.1,0,0,0,0,0,0,0
9,24,2.1,0,0,-9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25,2.1,0,0,-8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,26,2.1,0,0,-6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,27,2.1,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,28,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,29,2.1,0,0,0,2.1,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0
9,30,3.2,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0
9,31,3.2,0,0,0,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,32,3.2,0,0,0,1.1,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,33,3.1,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,34,3.1,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,35,3.1,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,36,3.1,0,0,0,0,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0
9,37,3.1,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0
9,38,3.1,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0
9,39,3.1,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0
9,40,3.1,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0
9,41,3.1,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0
9,42,3.1,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,0
9,43,3.1,0,0,0,0,0,-1.1,0,0,0,0,0,0,0,0,0,0,0,-1.1
9,44,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
9,45,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,46,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,7.1,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0
10,4,7.1,0,0,0,0,0,0,2.1,0,0,3.2,0,0,0,0,0,0,0,0
10,5,8.1,3.3,0,0,3.2,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0
10,6,8.1,0,0,0,0,0,-5.1,0,0,0,0,0,2.1,0,0,0,0,0,0
10,7,8.1,0,0,0,2.1,0,-6.1,0,0,0,0,0,0,0,0,0,0,0,0
10,8,7.2,0,0,0,2.1,0,-5.2,0,0,0,0,0,0,0,0,0,0,0,0
10,9,7.2,0,0,0,0,0,-7.2,0,0,0,0,0,0,0,0,0,0,0,0
10,10,7.2,0,0,0,1.1,0,-6.2,0,0,0,0,0,0,0,0,0,0,0,0
10,11,6.3,0,0,0,0,0,-7.2,0,0,0,2.1,0,0,0,0,0,0,0,0
10,12,6.3,0,0,0,2.1,0,-8.3,0,0,0,0,0,0,0,0,0,0,0,0
10,13,6.3,0,0,0,0,0,-7.3,0,0,0,0,0,0,0,0,0,0,0,0
10,14,6.3,0,0,0,1.1,0,-8.3,0,0,0,0,0,0,0,0,0,0,0,0
10,15,6.3,0,-1.3,0,-1.1,-8.3,-8.3,0,0,0,0,0,0,0,0,0,0,0,0
10,16,6.3,0,-1.3,0,-1.1,-8.3,-8.3,0,0,0,0,0,0,0,0,0,0,0,0
10,17,6.3,0,0,0,0,-8.3,0,0,0,0,2.1,0,0,0,0,0,0,0,0
10,18,6.3,0,0,0,2.1,-8.3,0,0,0,0,0,1.1,0,0,0,0,0,0,0
10,19,6.3,0,0,0,1.1,-8.3,-2.1,0,0,0,0,-1.1,0,0,0,0,0,0,0
10,20,6.3,0,0,0,0,-9.2,-2.1,0,0,0,0,0,0,0,0,0,0,0,0
10,21,6.3,0,0,0,2.1,-9.2,-5.1,0,0,0,0,-1.2,0,0,0,0,0,0,0
10,22,6.3,0,0,0,0,-8.1,-5.2,0,0,0,0,0,0,0,0,0,0,0,0
10,23,6.3,0,0,0,2.1,-7.1,-7.2,0,0,0,0,-1.2,0,0,0,0,0,0,0
10,24,7.3,0,0,0,0,-8.1,-6.2,0,0,0,0,-1.2,0,0,0,0,0,0,0
10,25,7.3,0,0,0,0,-6.1,-6.2,0,0,0,0,0,0,0,0,0,0,0,0
10,26,7.3,0,0,0,1.1,-4.1,-6.3,0,0,0,0,1.1,0,0,0,0,0,0,0
10,27,7.3,0,0,0,0,-5.1,-6.3,0,0,0,0,0,0,0,0,0,0,0,0
10,28,7.3,0,0,0,2.1,-1.1,-6.3,0,0,0,0,2.1,0,0,0,0,0,0,8.1
10,29,7.3,0,0,0,0,0,-6.3,0,0,0,0,0,0,0,0,0,0,0,8.1
10,30,7.3,0,0,0,0,0,-7.3,0,0,0,0,0,0,0,0,0,0,0,0
10,31,7.3,0,0,0,0,0,-7.3,0,0,0,0,0,0,0,0,0,0,0,9.1
10,32,7.3,0,0,0,0,0,-7.3,0,0,0,0,0,0,0,0,0,0,0,9.1
10,33,8.2,0,0,0,0,0,-7.3,0,0,0,0,0,0,0,0,0,0,0,10.1
10,34,8.2,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,10.1
10,35,9.2,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
10,36,9.2,0,0,0,0,0,6.2,0,2.1,0,0,0,0,0,0,0,0,0,0
10,37,9.1,0,0,0,0,0,6.2,0,2.1,0,0,0,0,0,0,0,0,0,10.1
10,38,9.1,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0
10,39,9.1,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0
10,40,8.1,0,0,0,0,0,4.3,0,0,0,0,0,0,2.1,0,0,0,0,11.1
10,41,8.1,0,0,0,0,0,4.3,0,0,0,0,0,0,2.1,0,0,0,0,0
10,42,8.1,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0
10,43,4.1,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,11.1
10,44,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0
10,45,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0
10,46,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0
10,47,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0
10,48,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0
11,1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,-2.2,0,0,-4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,-1.2,0,0,-4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,2.2,0,0,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,2.2,0,0,-4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,2.2,0,0,-4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7,2.2,0,0,-4.3,0,0,0,0,0,0,0,-14.1,0,0,0,0,0,0,0
11,8,2.2,0,0,-4.3,0,0,0,0,0,0,0,-15.2,0,0,0,0,0,0,0
11,9,2.2,0,0,-4.3,0,0,0,0,0,0,0,-11.2,0,0,0,0,0,0,0
11,10,2.2,0,0,-4.3,0,0,0,0,0,0,0,-14.1,0,0,0,0,0,0,0
11,11,2.2,0,0,-4.3,6.3,0,0,-1.1,0,0,0,-14.2,0,-2.1,0,0,0,0,0
11,12,2.2,0,0,-4.3,0,0,0,-1.1,-5.1,0,0,-12.3,0,-2.1,0,0,0,0,0
11,13,-1.3,0,0,-4.3,7.1,0,0,0,-4.1,7.1,0,-17.1,0,0,0,0,0,0,0
11,14,-1.3,0,0,-4.3,6.2,0,12.1,-5.1,0,7.1,0,0,0,0,0,0,0,0,0
11,15,-1.3,0,0,-4.2,0,0,12.2,-5.1,0,0,0,0,0,0,0,0,0,0,0
11,16,-1.3,0,0,-4.2,-5.1,-7.1,13.3,0,0,0,0,0,0,0,0,0,0,0,0
11,17,-1.3,3.2,0,-4.2,0,-6.1,12.3,0,0,0,-8.1,0,0,0,0,0,0,0,0
11,18,-1.3,0,0,-12.2,-8.1,0,11.3,0,0,0,0,-3.1,0,0,0,0,0,0,0
11,19,-1.3,0,0,-11.2,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0
11,20,-1.3,0,0,-9.2,-5.1,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0
11,21,-1.3,0,0,-9.1,0,0,8.3,0,0,-4.1,0,0,0,0,0,0,0,0,0
11,22,-1.3,0,0,-7.1,-4.1,0,8.3,0,0,0,-4.1,0,0,0,0,0,0,0,0
11,23,-1.3,0,0,-6.1,-4.1,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0
11,24,0,0,0,-5.1,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0
11,25,0,5.1,0,0,-3.1,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0
11,26,0,0,0,0,0,0,6.2,0,0,0,-4.2,0,0,0,0,0,0,0,0
11,27,0,0,0,0,0,0,5.2,0,0,0,-4.2,0,0,0,0,0,0,0,0
11,28,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0
11,29,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0
11,30,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0
11,31,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0
11,32,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0
12,2,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0
12,3,9.1,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0
12,4,9.1,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0
12,5,9.1,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0
12,6,9.1,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0
12,7,10.1,0,0,0,9.1,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0
12,8,10.1,0,0,0,9.1,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0
12,9,12.3,0,0,0,15.1,0,15.2,13.1,0,0,0,0,0,0,0,0,0,0,0
12,10,12.3,0,0,0,13.1,0,14.2,13.1,0,0,0,0,0,0,0,0,0,0,0
12,11,12.3,0,0,0,-6.3,0,14.2,0,0,0,-8.1,0,0,0,0,0,0,0,0
12,12,12.3,7.3,21.2,0,3.3,0,14.2,17.1,0,0,6.2,-8.3,0,17.1,0,0,0,0,0
12,13,12.3,7.3,21.2,0,0,14.2,0,0,0,0,0,-8.3,0,17.1,0,0,0,0,0
12,14,12.3,0,0,0,0,14.2,0,0,0,0,0,0,0,17.1,0,0,0,0,0
12,15,12.3,0,0,0,0,14.2,0,15.1,0,0,0,0,0,0,0,0,0,0,0
12,16,10.1,0,0,0,14.3,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,17,10.1,0,0,0,14.3,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18,9.1,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,19,9.1,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,20,9.1,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,21,9.1,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,22,9.1,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,23,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,24,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,25,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0
13,2,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0
13,3,-1.2,2.2,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0
13,4,-1.2,0,0,0,0,0,1.2,0,0,0,0,-5.1,0,0,0,0,0,0,0
13,5,-1.2,0,0,-3.1,-3.1,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,0
13,6,-1.2,0,0,-2.1,0,-1.2,-1.2,4.1,0,0,0,0,0,0,0,0,0,0,0
13,7,-1.2,0,0,-2.1,0,-1.2,0,4.1,0,-4.1,0,0,0,0,0,0,0,0,0
13,8,-1.2,-7.2,0,-3.1,-4.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9,-1.2,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10,-1.3,2.2,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,11,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,-7.1,0,0,0,0,0,0,-6.1,0,0,0,0,0,0,0,0
14,2,-5.1,0,0,0,-6.2,-8.1,3.1,-5.1,0,0,0,8.1,0,0,0,0,0,0,0
14,3,-5.1,-5.2,0,0,0,-4.1,-2.1,0,0,0,0,2.1,0,0,0,0,0,0,0
14,4,-5.1,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5,-5.1,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,-5.1,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,7,-5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,2.1,-2.2,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0
15,2,2.1,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
15,3,2.1,0,0,0,0,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,0
15,4,2.1,0,0,0,0,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,0
15,5,2.1,0,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
15,6,2.3,0,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
15,7,2.3,0,0,0,0,-3.2,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
15,8,2.2,0,0,0,0,-2.3,3.1,0,0,0,0,0,0,0,0,0,0,0,0
15,9,2.2,0,0,0,0,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
15,10,2.2,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
15,11,2.2,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0
15,12,2.2,-2.2,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,13,2.2,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
15,14,2.2,0,0,0,0,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,0
15,15,2.2,0,0,0,0,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,0
15,16,2.2,0,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
15,17,2.2,0,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
15,18,2.2,0,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
15,19,2.1,0,0,0,0,-3.1,-2.2,0,0,0,0,0,0,0,0,0,0,0,0
15,20,2.1,0,0,0,0,-3.1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,21,2.1,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,22,2.1,0,0,0,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,23,2.1,0,0,0,0,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,24,2.1,-2.2,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,3.2,0,0,-1.1,0,2.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0
16,2,3.2,0,0,1.1,0,2.1,3.1,0,0,0,0,0,0,0,0,0,0,0,0
16,3,3.2,0,0,1.1,0,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0
16,4,3.2,0,0,1.1,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,3.2,0,0,1.1,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,3.2,0,0,1.1,1.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,7,3.2,0,0,1.1,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0
